图片: B20
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=132.5, center_y=350.0, width=265.0, height=354.0)
  角点表示: (x1=0.0, y1=173.0, x2=265.0, y2=527.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
  86  0.154  0.173  0.890  0.836  0.893  0.574  0.500  0.0  0.603  N    2  0.122  (53,237,208,443)
  87  0.145  0.361  0.777  0.893  0.617  0.542  0.523  0.0  0.571  N    2  0.160  (73,173,250,409)
  88  0.145  0.295  0.752  0.953  0.573  0.548  0.500  0.0  0.512  N    2  0.160  (72,150,249,386)
  89  0.141  0.289  0.824  0.813  0.913  0.664  0.523  0.0  0.484  N    1  0.122  (1,307,156,513)
  90  0.140  0.217  1.000  0.590  0.998  0.554  0.500  0.0  0.545  N    2  0.089  (33,208,165,385)
  91  0.126  0.199  1.000  0.581  0.999  0.589  0.500  0.0  0.525  N    2  0.089  (30,224,162,401)
  92  0.124  0.333  0.757  0.794  0.616  0.523  0.500  0.0  0.513  N    2  0.160  (80,209,257,445)
  93  0.117  0.099  0.949  0.809  0.926  0.702  0.500  0.0  0.589  N    2  0.122  (0,229,155,435)
  94  0.110  0.000  0.939  0.772  0.942  0.506  0.500  0.0  0.485  N    2  0.089  (62,233,194,410)
  95  0.105  0.310  0.861  0.921  0.705  0.553  0.604  0.0  0.673  N    2  0.160  (61,180,238,416)
  96  0.087  0.093  1.000  0.559  1.000  0.577  0.500  0.0  0.534  N    2  0.089  (33,226,165,403)
  97  0.085  0.864  0.662  0.544  0.399  0.961  0.500  0.0  0.528  N    3  0.358  (88,237,353,591)
  98  0.061  0.177  1.000  0.705  0.978  0.588  0.615  0.0  0.479  N    2  0.089  (29,181,161,358)
  99  0.055  0.540  0.671  0.731  0.439  0.451  0.604  0.0  0.479  N    2  0.249  (88,180,309,475)
 100  -0.042  0.655  0.371  0.544  0.399  0.961  0.500  0.0  0.501  N    3  0.358  (128,237,393,591)
