图片: 454
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
 80. final=-0.025 aes_norm=0.225 aes_raw=3.237 pen=0.500 rule=0.000 L=N i=  0 box=(35,320,130,448) area_ratio=0.040
 81. final=-0.026 aes_norm=0.224 aes_raw=3.237 pen=0.500 rule=0.000 L=N i=  1 box=(173,89,268,217) area_ratio=0.040
 82. final=-0.032 aes_norm=0.218 aes_raw=3.228 pen=0.500 rule=0.000 L=N i=  1 box=(105,92,200,220) area_ratio=0.040
 83. final=-0.040 aes_norm=0.210 aes_raw=3.216 pen=0.500 rule=0.000 L=N i=  3 box=(34,512,129,640) area_ratio=0.040
 84. final=-0.042 aes_norm=0.208 aes_raw=3.214 pen=0.500 rule=0.000 L=N i=  2 box=(32,144,127,272) area_ratio=0.040
 85. final=-0.042 aes_norm=0.208 aes_raw=3.214 pen=0.500 rule=0.000 L=Y i=  3 box=(0,470,95,598) area_ratio=0.040
 86. final=-0.044 aes_norm=0.206 aes_raw=3.211 pen=0.500 rule=0.000 L=N i=  1 box=(178,140,273,268) area_ratio=0.040
 87. final=-0.047 aes_norm=0.203 aes_raw=3.206 pen=0.500 rule=0.000 L=N i=  3 box=(71,510,166,638) area_ratio=0.040
 88. final=-0.048 aes_norm=0.202 aes_raw=3.206 pen=0.500 rule=0.000 L=N i=  3 box=(105,512,200,640) area_ratio=0.040
 89. final=-0.053 aes_norm=0.197 aes_raw=3.199 pen=0.500 rule=0.000 L=N i=  0 box=(2,226,97,354) area_ratio=0.040
 90. final=-0.053 aes_norm=0.197 aes_raw=3.198 pen=0.500 rule=0.000 L=N i=  0 box=(108,462,203,590) area_ratio=0.040
 91. final=-0.058 aes_norm=0.192 aes_raw=3.192 pen=0.500 rule=0.000 L=N i=  1 box=(176,45,271,173) area_ratio=0.040
 92. final=-0.079 aes_norm=0.171 aes_raw=3.162 pen=0.500 rule=0.000 L=N i=  1 box=(105,42,200,170) area_ratio=0.040
 93. final=-0.087 aes_norm=0.163 aes_raw=3.150 pen=0.500 rule=0.000 L=Y i=  0 box=(0,274,95,402) area_ratio=0.040
 94. final=-0.100 aes_norm=0.150 aes_raw=3.132 pen=0.500 rule=0.000 L=N i=  1 box=(135,0,230,128) area_ratio=0.040
 95. final=-0.104 aes_norm=0.146 aes_raw=3.127 pen=0.500 rule=0.000 L=N i=  1 box=(135,52,230,180) area_ratio=0.040
 96. final=-0.111 aes_norm=0.139 aes_raw=3.116 pen=0.500 rule=0.000 L=N i=  1 box=(139,134,234,262) area_ratio=0.040
 97. final=-0.128 aes_norm=0.122 aes_raw=3.092 pen=0.500 rule=0.000 L=N i=  0 box=(4,181,99,309) area_ratio=0.040
 98. final=-0.136 aes_norm=0.114 aes_raw=3.081 pen=0.500 rule=0.000 L=N i=  1 box=(72,48,167,176) area_ratio=0.040
 99. final=-0.142 aes_norm=0.108 aes_raw=3.073 pen=0.500 rule=0.000 L=N i=  1 box=(176,3,271,131) area_ratio=0.040
100. final=-0.250 aes_norm=0.000 aes_raw=2.919 pen=0.500 rule=0.000 L=N i=  3 box=(35,468,130,596) area_ratio=0.040
